,ID,Title,Área industrial,Nombre empresa,Logotipo,Descripción empresa,Descripción corta empresa,Sector,Actividad,Dirección,Nave,Código Postal,Página web,Email,Teléfono,CIF,CNAE,Enlace Street View,Taxonomía,empresa_mostrar_mapa_lat,empresa_mostrar_mapa_lng
,10316,XPO Logistics,MercaSantander,XPO Logistics,,Empresa de transportes,Empresa de transportes,Transporte,Mercancías,Barrio San Martin,S/N,39011,,atencioncliente@xpo.com,942352352,B78503406,Transporte de mercancías por carretera,,,,
,10317,Carrocerías Migoba S.L.,MercaSantander,Carrocerías Migoba S.L.,,Concesionario de automóviles,Concesionario de automóviles,Taller,Automóviles,Barrio San Martín Mercasantander,Parc 14,39011,,talleresmigoba@gmail.com,942322249,B39677679,Reparación y mantenimiento de otro material de transporte,,,,
,10318,Frutas Manuel Llata S.L.,MercaSantander,Frutas Manuel Llata S.L.,,Frutería,Frutería,Mayorista,Fruta,"Bº San Martín Del Pino
 Urb. Las Acacias",5,39011,,frutasllata@gmail.com,942148665,B39446653,Comercio al por mayor de frutas y hortalizas,,,,
,10319,David Maza Rozas,MercaSantander,David Maza Rozas,,Mayorista de frutas y hortalizas,Mayorista de frutas y hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 42-47-48-49,39011,,davidmazarozas@telefonica.net,942324921,B39628581,Comercio al por mayor de frutas y hortalizas,,,,
,10320,Esteve Hnos S.L.,MercaSantander,Esteve Hnos S.L.,,Mayorista de frutas y hortalizas,Mayorista de frutas y hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 28-29-30-C5,39011,,esthn@ceoecant.es,942339011,B39023817,Comercio al por mayor de frutas y hortalizas,,,,
,10321,Ezequiel Hernando,MercaSantander,Ezequiel Hernando,,Mayorista de frutas y hortalizas,Mayorista de frutas y hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 5,39011,,,942345589,B39407960,Comercio al por mayor de frutas y hortalizas,,,,
,10322,Frutas Briz S.L.,MercaSantander,Frutas Briz S.L.,,Frutería,Frutería,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 39-40-50-51-52,39011,,frutasbriz@ceoecant.es,942336290,B39203039,Comercio al por mayor de frutas y hortalizas,,,,
,10323,Frutas Espinosa S.A.,MercaSantander,Frutas Espinosa S.A.,,Frutería,Frutería,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 32-33-34,39011,,frutasespinosa@infonegocio.com,942334206,A39046339,Comercio al por mayor de frutas y hortalizas,,,,
,10324,Frutas Galdós S.L.,MercaSantander,Frutas Galdós S.L.,,Mayorista de frutas y Hortalizas,Mayorista de frutas y Hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 54-55-56-31,39011,,frutasgaldos@hotmail.es,942337969,B39025093,Comercio al por mayor de frutas y hortalizas,,,,
,10325,Frutas Txiki Cantabria S.L.,MercaSantander,Frutas Txiki Cantabria S.L.,,Mayorista Frutas y Hortalizas,Mayorista Frutas y Hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 12-13-14-C1,39011,,frutastxikicantabria@hotmail.com,638763484,B39604137,Comercio al por mayor de frutas y hortalizas,,,,
,10326,Gama 2020 S.L.,MercaSantander,Gama 2020 S.L.,,Gestión y explotación de varias fruterías,Gestión y explotación de varias fruterías,Tienda,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 11,39011,,josearcos@fruteriagama.es,942042230,B01668136,Comercio al por menor de frutas y hortalizas en establecimientos especializados,,,,
,10327,Vegetal Oro,MercaSantander,Vegetal Oro,,Frutería,Frutería,Tienda,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 17 y 18,39011,,,682248745,B39883731,Comercio al por menor de frutas y hortalizas en establecimientos especializados,,,,
,10328,Frutas La Montaña,MercaSantander,Frutas La Montaña,,Frutería,Frutería,Mayorista,Tienda,"C/ Joaquín Salas 6, Mercasantander",Módulos 41,39011,,frutas_valle@hotmail.com,942355528,B39790712,"Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales",,,,
,10329,José María Combarro S.A.,MercaSantander,José María Combarro S.A.,,Mayorista de frutas y hortalizas,Mayorista de frutas y hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 37-38-43-44-45-46,39011,,josemaria@combarrofrutas.com,942337888,A39077177,Comercio al por mayor de frutas y hortalizas,,,,
,10330,Frutas María José González,MercaSantander,Frutas María José González,,Frutas,Frutas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 1,39011,,oscarfrutas@outlook.es,676497516,J39344270,Comercio al por mayor de frutas y hortalizas,,,,
,10331,Riego Martínez S.L.,MercaSantander,Riego Martínez S.L.,,Mayorista de frutas y hortalizas,Mayorista de frutas y hortalizas,Mayorista,Fruta,"C/ Joaquín Salas 6, Mercasantander",Módulos 26 y 27,39011,,riego.sl@terra.es,942336869,B39349519,Comercio al por mayor de frutas y hortalizas,,,,
,10332,C.B. Pescados,MercaSantander,C.B. Pescados,,,,Mayorista,Pescados,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 9,39011,,compras@centralbpescados.com,,,Comercio al por mayor de pescados,,,,
,10333,Cegar S.A.,MercaSantander,Cegar S.A.,,Mayorista de carnes,Mayorista de carnes,Mayorista,Carne,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 11,39011,,cegar@tpi.infomail.es,942335026,A39046842,Comercio al por mayor de carne y productos cárnicos,,,,
,10334,La Cabaña 5 Continentes S.L.,MercaSantander,La Cabaña 5 Continentes S.L.,,Productos latinoamericanos y africanos,Productos latinoamericanos y africanos,Mayorista,Tienda,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 1,39011,,lacabanya@5continentes.e.telefonica.net,942321774,B39807888,"Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",,,,
,10335,Pescacant,MercaSantander,Pescacant,,Pescados y mariscos frescos de Cantabria,Pescados y mariscos frescos de Cantabria,Mayorista,Pescado,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 8,39011,,pescacansl@pescadoschuchi.com,942347557,B39577440,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10336,Pescados Eduardo Rivero,MercaSantander,Pescados Eduardo Rivero,,Pescadería,Pescadería,Mayorista,Pescado,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 16,39011,,pescados@eduardorivero.es,609226859,J39663000,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10337,Pescados Santander,MercaSantander,Pescados Santander,,Importación y exportación de pescado fresco,Importación y exportación de pescado fresco,Mayorista,Pescado,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 15,39011,,administracion@pescadossantander.com,942347559,A39047832,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10338,Venancio Cacho,MercaSantander,Venancio Cacho,,Pescadería,Pescadería,Mayorista,Pescado,"C/ Joaquín Salas 6, Mercasantander",Pab. Polv. 13,39011,,,942322274,J39756705,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10339,Frigoríficos Pérez Barandica S.L.,MercaSantander,Frigoríficos Pérez Barandica S.L.,,Mayorista de marisco,Mayorista de marisco,Almacén,Marisco,"C/ Joaquín Salas 6, Mercasantander",19-B,39011,,fpb@barandica.es,942336789,B39366422,Depósito y almacenamiento,,,,
,10340,Guardería Ciempies,MercaSantander,Guardería Ciempies,,Centro de educación preescolar,Centro de educación preescolar,Formación,,"C/ Joaquín Salas 6, Mercasantander",13,39011,,sheilatrespalaciosnoriega@gmail.com,639568936,,,,,,
,10341,Lacera Cargo,MercaSantander,Lacera Cargo,,Servicio de transporte de mercancías,Servicio de transporte de mercancías,Transporte,Mercancías,"C/ Joaquín Salas 6, Mercasantander",Oficinas 4-5-6,39011,,fpuras@laceracargo.com,942355500,B39493432,Transporte de mercancías por carretera,,,,
,10342,Seguridad y Comunicaciones del Norte SLU,MercaSantander,Seguridad y Comunicaciones del Norte SLU,,"Instalación y mantenimiento de aparatos, equipos, dispositivos y sistemas de seguridad","Instalación y mantenimiento de aparatos, equipos, dispositivos y sistemas de seguridad",Seguridad,Electricidad,"C/ Joaquín Salas 6, Mercasantander",6,39011,,tucantabria@hotmail.com,680421738,B39833322,Instalaciones eléctricas,,,,
,10343,Compesca S.A.,MercaSantander,Compesca S.A.,,Mayorista de marisco,Mayorista de marisco,Mayorista,Pescado,"C/ Joaquín Salas, Mercasantander",6,39011,,compesca@compesca.com,942354422,A28249993,"Procesado de pescados, crustáceos y moluscos",,,,
,10344,Copaga Cantabria,MercaSantander,Copaga Cantabria,,Almacén de alimentación,Almacén de alimentación,Mayorista,Carne,"C/ Joaquín Salas, Mercasantander",6,39011,,copagacantabria@copagacantabria.com,942558811,A39046800,Comercio al por mayor de carne y productos cárnicos,,,,
,10345,Food 200 S.L.,MercaSantander,Food 200 S.L.,,Mayorista de carne,Mayorista de carne,Mayorista,Carne,"C/ Joaquín Salas, Mercasantander",6,39011,,administracion@food2000.es,942338803,B39316526,Comercio al por mayor de carne y productos cárnicos,,,,
,10346,Froxa S.A.,MercaSantander,Froxa S.A.,,"Elaboración y distribución de alimentos preparados, precocinados, pescados y mariscos","Elaboración y distribución de alimentos preparados, precocinados, pescados y mariscos",Mayorista,Pescado,"C/ Joaquín Salas, Mercasantander",6,39011,,sergio.herrera@froxa.com,942355619,A39064886,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10347,Grumain S.L.,MercaSantander,Grumain S.L.,,"Adquisición, tenencia, administración y enajenación de valores mobiliarios por cuenta propia","Adquisición, tenencia, administración y enajenación de valores mobiliarios por cuenta propia",Sociedades Holding,Mobiliario,"C/ Joaquín Salas, Mercasantander",6,39011,,,942352352,B39203690,Actividades de las sociedades holding,,,,
,10348,Pescados Barandica S.A.,MercaSantander,Pescados Barandica S.A.,,Mayorista de marisco,Mayorista de marisco,Mayorista,Marisco,"C/ Joaquín Salas, Mercasantander",19-B,39011,,fpb@barandica.es,942336088,A39030812,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10349,SDF Cantabria SL,MercaSantander,SDF Cantabria SL,,Transporte de mercancías por carretera en camiones frigoríficos,Transporte de mercancías por carretera en camiones frigoríficos,Transporte,Mercancías,"C/ Joaquín Salas, Mercasantander",6,39011,,sdfcantabria@sdfcantabria.com,902998281,B39594098,Transporte de mercancías por carretera,,,,
,10350,Salami,MercaSantander,Salami,,Mayorista de carnes,Mayorista de carnes,Elaboración,Carne,"C/ Joaquín Salas, Mercasantander",6,39011,,info@salami-sa.com,942339421,H39019575,Elaboración de productos cárnicos y de volatería,,,,
,10351,Sistemas Britor S.L.U,MercaSantander,Sistemas Britor S.L.U,,Fabricación y comercialización de surimi y preparados congelados de pescado,Fabricación y comercialización de surimi y preparados congelados de pescado,Fábrica,Pescado,"C/ Joaquín Salas, Mercasantander",6,39011,,sistemasbritor@vici.es,942348111,B85838779,Fabricación de conservas de pescado,,,,
,10352,Socorral SL,MercaSantander,Socorral SL,,Instalación de almacenamiento en frio,Instalación de almacenamiento en frio,Mayorista,Tienda,"C/ Joaquín Salas, Mercasantander",6,39011,,praomonte@yahoo.es,942332144,B39502232,"Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles",,,,
,10353,La tienda del Huerto de AMPROS,MercaSantander,La tienda del Huerto de AMPROS,,Tienda de alimentos orgánicos,Tienda de alimentos orgánicos,,,"C/ Joaquín Salas, Mercasantander",6,39011,,ampros@ampros.org,942220658,G39010103,Otras Actividades De Apoyo A Las Empresas N.c.o.p.,,,,
,10354,Bar JR,MercaSantander,Bar JR,,Bar,Bar,Hostelería,Bar,"C/ Joaquín Salas, Mercasantander",6,39011,,raulraulraul6@hotmail.com,666562838,,,,,,
,10355,Cofrucan S.A.L.,MercaSantander,Cofrucan S.A.L.,,Mayorista de frutas y hortalizas,Mayorista de frutas y hortalizas,Mayorista,Fruta,C/ Mercasantander,puestos 6-7-8-23-24,39011,,cofrucan@gmail.com,942324600,A39412705,Comercio al por mayor de frutas y hortalizas,,,,
,10356,Talleres Reymec,Albericia Sur - Los Portuarios,Talleres Reymec,,Talleres Reymec,Talleres Reymec,Taller,Carpinteria metálica,C/ Los Portuarios,S/N,39012,,reymec@reymec.es,942338333,H39078928,Fabricación de otros productos metálicos n.c.o.p.,,,,
,10357,Rocódromo Club Alpino Tajahierro,Albericia Sur - Los Portuarios,Rocódromo Club Alpino Tajahierro,,Rocódromo Club Alpino Tajahierro,Rocódromo Club Alpino Tajahierro,Gimnasio,Gimnasio,C/ Los Portuarios,5 -7 C,39012,,tajahierro@gmail.com,942239473,G39012414,Montañismo,,,,
,10358,Tienda de Pinturas Tenysol,Albericia Sur - Los Portuarios,Tienda de Pinturas Tenysol,,Tienda de Pinturas Tenysol,Tienda de Pinturas Tenysol,Almacén,Pinturas,C/ Los Portuarios,S/N,39012,,tenysol@tenysol.com,942344352,H39031349,"Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados",,,,
,10359,Carrocerías Capi,Albericia Sur - Los Portuarios,Carrocerías Capi,,Carrocerías Capi,Carrocerías Capi,Taller,Automóviles,C/ La Prensa,nave 6-7,39012,,josecapi67@gmail.com,942343680,B39448717,Mantenimiento y reparación de vehículos de motor,,,,
,10360,Mafecar,Albericia Sur - Los Portuarios,Mafecar,,Mafecar,Mafecar,Taller,Automóviles,C/ La Prensa,"10, nave 3-4",39012,,t.mafercar@hotmail.com / info@mafercar.com,942340897,J39822333,Mantenimiento y reparación de vehículos de motor,,,,
,10361,Box Solvid,Albericia Sur - Los Portuarios,Box Solvid,,Box Solvid,Box Solvid,Taller,Automóviles,C/ La Prensa,10F,39012,,,,B10907459,Mantenimiento y reparación de vehículos de motor,,,,
,10362,Cofares Noroeste y del Cantábrico,Albericia Sur - Los Portuarios,Cofares Noroeste y del Cantábrico,,Cofares Noroeste y del Cantábrico,Cofares Noroeste y del Cantábrico,Almacén,Productos Sanitaios,C/ Albericia,S/N,39012,,atencionalcliente@cofares.es,949790000,F28140119,Comercio al por mayor de productos farmacéuticos,,,,
,10363,Te lo guardo yo,Albericia Sur - Los Portuarios,Te lo guardo yo,,Te lo guardo yo,Te lo guardo yo,Alquiler,Trasteros,C/ La Prensa,12,39012,,info@teloguardoyo.com / vitalrex@teloguardoyo.com,942020612,B39520150,Depósito y almacenamiento,,,,
,10364,Carrocerías Poldo e Hijos,Albericia Sur - Los Portuarios,Carrocerías Poldo e Hijos,,Carrocerías Poldo e Hijos,Carrocerías Poldo e Hijos,Taller,Automóviles,C/ La Prensa,S/N,39012,,info@carroceriaspoldoehijo.com,942323600,B39717038,Mantenimiento y reparación de vehículos de motor,,,,
,10365,Pidetaxi Cantabria,Albericia Sur - Los Portuarios,Pidetaxi Cantabria,,Pidetaxi Cantabria,Pidetaxi Cantabria,Transporte,Personas,C/ La Prensa,5,39012,,pidetaxi@pidetaxicantabria.es,942333333,B88424387,Transporte por taxi,,,,
,10366,Auto 10,Albericia Sur - Los Portuarios,Auto 10,,Auto 10,Auto 10,Concesionario,Automóviles,C/ La Prensa,1,39012,,,942324281 / 600545979,,Venta de automóviles y vehículos de motor ligeros,,,,
,10367,Borragan,Albericia Sur - Los Portuarios,Borragan,,Borragan,Borragan,,,C/ La Prensa,1,39012,,,942059112,,Distribución de periodicos y revistas,,,,
,10368,Cerramientos Metálicos y Plásticos Raos,Albericia Sur - Los Portuarios,Cerramientos Metálicos y Plásticos Raos,,Cerramientos Metálicos y Plásticos Raos,Cerramientos Metálicos y Plásticos Raos,Taller,Carpintería metálica,C/ La Prensa,3,39012,,cerramientosmetalicos@cerramientosmetalicos.com,615408105 / 942369108,B39100995,Fabricación de estructuras metálicas y sus componentes,,,,
,10369,AJM Asesoría y Proyectos Energéticos,Albericia Sur - Los Portuarios,AJM Asesoría y Proyectos Energéticos,,AJM Asesoría y Proyectos Energéticos,AJM Asesoría y Proyectos Energéticos,,,C/ Montes Carpatos,2,39012,,info@ajmproyectos.com,619038816,,Servicios técnicos de ingeniería,,,,
,10370,La Cocina de Chuchi,Albericia Sur - Los Portuarios,La Cocina de Chuchi,,La Cocina de Chuchi,La Cocina de Chuchi,Elaboración,Alimentos,C/ Albericia,S/N,39012,,,942062896,B39577440,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10371,AR Pando,Albericia Sur - Los Portuarios,AR Pando,,AR Pando,AR Pando,Taller,Automóviles,C/ Albericia,13,39012,,j.a.r.pando@hotmail.com / info@neumaticospando.es,942341492,G39735212,Comercio al por menor de repuestos y accesorios de vehículos de motor,,,,
,10372,El Solecito,Albericia Sur - Los Portuarios,El Solecito,,El Solecito,El Solecito,Hostelería,Restaurante,C/ Albericia,"13, bajo",39012,,elsolecito@elsolecito.com,942325118 / 625936053,B39516380,Otros servicios de comidas,,,,
,10373,Talleres Siper,Albericia Sur - Los Portuarios,Talleres Siper,,Talleres Siper,Talleres Siper,Taller,Automóviles,C/ Albericia,11,39012,,info@talleresiper.com,942347474,J39052527,Mantenimiento y reparación de vehículos de motor,,,,
,10374,Carnicería Charcutería J. González,Albericia Sur - Los Portuarios,Carnicería Charcutería J. González,,Carnicería Charcutería J. González,Carnicería Charcutería J. González,Tienda,Carne,C/ Albericia,45,39012,,,942038694,J39093919,Comercio al por menor de carne y productos cárnicos en establecimientos especializados,,,,
,10375,Mariscos Colomar,Albericia Sur - Los Portuarios,Mariscos Colomar,,Mariscos Colomar,Mariscos Colomar,Mayorista,Marisco,C/ Bratislava,3,39012,,pedidos@mariscoscolomar.com,942322004,B39371356,"Comercio al por mayor de pescados, mariscos y otros productos alimenticios",,,,
,10376,Fyeprofesional,Albericia Sur - Los Portuarios,Fyeprofesional,,Fyeprofesional,Fyeprofesional,Formación,Formación,C/ La Tejera,2,39012,,contacto@fyeprofesional.com / info@fyeprofesional.es,942407645 / 627263781,B39878764,Otra educación n.c.o.p.,,,,
,10377,Bosch car Service Autoluz Samaniego,Albericia Sur - Los Portuarios,Bosch car Service Autoluz Samaniego,,Bosch car Service Autoluz Samaniego,Bosch car Service Autoluz Samaniego,Taller,Automóviles,C/ La Tejera,8,39012,,al.samaniego@bosch-bcs.com / atencion_boschcarservice@es.bosch.com,942321155,J39719018,Mantenimiento y reparación de vehículos de motor,,,,
,10378,Ferretería Lima,Albericia Sur - Los Portuarios,Ferretería Lima,,Ferretería Lima,Ferretería Lima,Tienda,Ferretería,C/ La Tejera,S/N,39012,,info@ferreterialima.com,942323848,,"Comercio al por mayor de ferretería, fontanería y calefacción",,,,
,10379,Orointernet,Albericia Sur - Los Portuarios,Orointernet,,Orointernet,Orointernet,Informática,Programación,C/ La Tejera,5,39012,,,942241003,B39617162,Otras actividades relacionadas con la informática,,,,
,10380,Representaciones Trapaga S.L.,Albericia Sur - Los Portuarios,Representaciones Trapaga S.L.,,Representaciones Trapaga S.L.,Representaciones Trapaga S.L.,Mayorista,Ropa / Calzado,C/ La Tejera,"5, bajo PLT 3 . OFICINA 1",39012,,rtrapaga@gmail.com,609541571 / 942370180,H39626239,Comercio al por mayor de prendas de vestir y calzado,,,,
,10381,Aseguras,Albericia Sur - Los Portuarios,Aseguras,,Aseguras,Aseguras,Seguros,Seguros,C/ La Tejera,5,39012,,aseguras@espabrok.com / aseguras@aseguras.es,942318282,B39647938,Actividades de agentes y corredores de seguros,,,,
,10382,Ingeniería Agrícola Emilio Casuso S.L.,Albericia Sur - Los Portuarios,Ingeniería Agrícola Emilio Casuso S.L.,,Ingeniería Agrícola Emilio Casuso S.L.,Ingeniería Agrícola Emilio Casuso S.L.,Ingeniería,Ingeniería,C/ La Tejera,"Edificio San Luis, Planta 1",39012,,info@emiliocasuso.com,942323224,B39478532,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,10383,Activa Construcciones y Rehabilitación,Albericia Sur - Los Portuarios,Activa Construcciones y Rehabilitación,,Activa Construcciones y Rehabilitación,Activa Construcciones y Rehabilitación,Oficios / Construcción,Albañilería,C/ La Tejera,5A,309011,,activa@activaconstrucciones.es,942342923,B39775796,Construcción de edificios residenciales,,,,
,10384,Ofideco,Albericia Sur - Los Portuarios,Ofideco,,Ofideco,Ofideco,Tienda,Mobiliario Oficina,C/ Río Danubio,"1, planta 3, oficina 10",39012,,ofideco@ofideco.es,942364536,A39224753,Alquiler de bienes inmobiliarios por cuenta propia,,,,
,10385,Semarac,Albericia Sur - Los Portuarios,Semarac,,Semarac,Semarac,Publicidad,Publicidad,C/ Río Danubio,"1, Planta 2, oficina 9",39012,,pedro@semarac.com,942070780,B39698600,Otras actividades de impresión y artes gráficas,,,,
,10386,Thunder España Simulación,Albericia Sur - Los Portuarios,Thunder España Simulación,,Thunder España Simulación,Thunder España Simulación,Informática,Informática,C/ Río Danubio,"1, Planta 3, Oficina 8",39012,,thunder@thunderesp.com,942764984,B39699343,Investigación y desarrollo,,,,
,10387,FCP Formación Competencia Profesionalidad,Albericia Sur - Los Portuarios,FCP Formación Competencia Profesionalidad,,FCP Formación Competencia Profesionalidad,FCP Formación Competencia Profesionalidad,Formación,Formación,C/ Río Danubio,1,39012,,cursos@formacioncp.es,659479469 / 942313553,H39820709,Otras actividades de consultoría de gestión empresarial,,,,
,10388,Viacore IT,Albericia Sur - Los Portuarios,Viacore IT,,Viacore IT,Viacore IT,Informática,Informática,C/ Río Danubio,1,39012,,info@viacoreit.com,942333743,B39769690,Actividades de consultoría informática,,,,
,10389,Rentas y Capitales Inmobiliaria,Albericia Sur - Los Portuarios,Rentas y Capitales Inmobiliaria,,Rentas y Capitales Inmobiliaria,Rentas y Capitales Inmobiliaria,Inmobiliaria,Inmobiliaria,C/ Río Danubio,"1, Planta 2, oficina 8",39012,,info@rentasycapitales.es,942345994,B70637145,Promoción inmobiliaria,,,,
,10390,Gimnasio Sparta Sport,Albericia Sur - Los Portuarios,Gimnasio Sparta Sport,,Gimnasio Sparta Sport,Gimnasio Sparta Sport,Gimnasio,Gimnasio,C/ Gutiérrez Solana,6,39011,,administracion@spartasportcenter.com,942345551,B71173884,Otras actividades deportivas,,,,
,10391,Inarteco,Albericia Sur - Los Portuarios,Inarteco,,Inarteco,Inarteco,Arquitecto,Arquitecto,C/ Gutiérrez Solana,14,39012,,iaytc@inarteco.com,942763626,B39740253,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,10392,Bazar Europa,Albericia Sur - Los Portuarios,Bazar Europa,,Bazar Europa,Bazar Europa,Tienda,Bazar,C/ Gutiérrez Solana,16,39011,,,,,,,,,
,10393,Agustín Campos Francisco de Asís,Albericia Sur - Los Portuarios,Agustín Campos Francisco de Asís,,Agustín Campos Francisco de Asís,Agustín Campos Francisco de Asís,Farmacia,Farmacia,C/ Gutiérrez Solana,s/n,39011,,,942300635,,,,,,
,10394,Gimnasio McFit,Albericia Sur - Los Portuarios,Gimnasio McFit,,Gimnasio McFit,Gimnasio McFit,Gimnasio,Gimnasio,C/ Gutiérrez Solana,18,39011,,atencioncliente@mcfit.com,942940101,B57223570,,,,,
,10395,Tedy Comercio SLU,Albericia Sur - Los Portuarios,Tedy Comercio SLU,,Tedy Comercio SLU,Tedy Comercio SLU,Tienda,Artículos Hogar,C/ Gutiérrez Solana,1,39011,,,961367900,B87147302,,,,,
,10396,Mercadona,Albericia Sur - Los Portuarios,Mercadona,,Mercadona,Mercadona,Supermercado,Supermercado,C/ Gutiérrez Solana,18,39011,,facturasclientes@mercadona.es,800500220,A46103834,,,,,
,10397,Bergé,Puerto de Santander,Bergé,,Operador logístico especializado en vehículos y automoción,Operador logístico especializado en vehículos y automoción,Depósito,Depósito,Av. Parayas,S/N,39011,,comitedpd@bergelogistics.com,942221400,B79374526,Depósito y almacenamiento,,,,
,10398,Palibex,Puerto de Santander,Palibex,,Transporte,Transporte,Transporte,Mercancías,Espigón central de Raos,Muelles 7 y 8,39011,,info@palibex.com,942079750,,,,,,
,10399,Groupe CAT LV Santander,Puerto de Santander,Groupe CAT LV Santander,,"Compras, otros","Compras, otros","Compras, otros","Compras, otros",Puerto de Raos,S/N,,,,942352283,,,,,,
,10400,Sintax Logística,Puerto de Santander,Sintax Logística,,Multinacional de servicios logísticos integrales sector automoción,Multinacional de servicios logísticos integrales sector automoción,Transporte,Marítimo,Puerto de Raos,S/N,39011,,info@sintax.com,942321416,A58590670,Otras actividades anexas al transporte,,,,
,10401,Intermodal Sea Solutions,Puerto de Santander,Intermodal Sea Solutions,,Transporte intermodal,Transporte intermodal,Transporte,Intermodal,Puerto de Raos,S/N,39011,,ventas@intermodalss.com,942331997,B39711916,Transporte marítimo de mercancías,,,,
,10402,Alkion Terminal Santander,Puerto de Santander,Alkion Terminal Santander,,Almacén,Almacén,Depósito,Depósito,Puerto de Raos,S/N,39011,,amoreno@alkion.com,942343634,A28579480,Depósito y almacenamiento,,,,
,10403,Noatum,Puerto de Santander,Noatum,,"Servicios marítimos, logísticos y operaciones portuarias","Servicios marítimos, logísticos y operaciones portuarias",Transporte,Marítimo,Puerto de Raos,S/N,39011,,info@noatum.com,942352265,A17000704,Otras actividades anexas al transporte,,,,
,10404,Boluda Maritime Terminals Santander,Puerto de Santander,Boluda Maritime Terminals Santander,,Servicio de transporte,Servicio de transporte,Transporte,Marítimo,Puerto de Raos,C5WJ+Q2,39011,,,942063360,A82392101,Actividades anexas al transporte marítimo y por vías navegables interiores,,,,
,10405,Terminal de Graneles Agroalimentarios de Santander,Puerto de Santander,Terminal de Graneles Agroalimentarios de Santander,,Empresa portuaria,Empresa portuaria,Transporte,Transporte,Puerto de Raos,S/N,39011,,tasa@tasasantander.com,942352966,H39059043,Manipulación de mercancías,,,,
,10406,SGA Graneles,Puerto de Santander,SGA Graneles,,"Recepción, almacenamiento y expedición de graneles agroalimentarios","Recepción, almacenamiento y expedición de graneles agroalimentarios",Almacén,Almacén,Puerto de Raos,S/N,39011,,,942352966,,,,,,
,10407,Santander Coated,Puerto de Santander,Santander Coated,,Oficinas: productor internacional de bobinas de acero,Oficinas: productor internacional de bobinas de acero,Fábrica,Siderurgia,"Puerto Raos, Espigón Norte",Área 10.1,39011,,info@coatedsolution.com,942947025,H39790571,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",,,,
,10408,CLDN CARGO NV,Puerto de Santander,CLDN CARGO NV,,Almacén,Almacén,Almacén,Almacén,Vial Sur del Espigón Central,S/N,39011,,info@cldncargo.com,942873718,,,,,,
,,Atstroland Agencia Interplanetaria,PCTCAN,Atstroland Agencia Interplanetaria,,,,Aeronáutica,Aeronáutica,"PCTCAN, C/ Adarzo",124 A,39011,,info@astrolandagency.com,942627073,B39860739,Otras actividades de construcción especializada n.c.o.p.,,,,
,,"Consejería de Ganadería, pesca y Desarrollo Rural",PCTCAN,"Consejería de Ganadería, pesca y Desarrollo Rural",,,,Agricultura,Conserjería,C/ Albert Einstein,2 (Edificio Apia XXI),39011,,cdesarrollorural@cantabria.es,942207853,,"Servicios relacionados con la producción, cría y reproducción animal y actividades de agricultura y pesca.",,,,
,,Dirección General de Desarrollo Rural,PCTCAN,Dirección General de Desarrollo Rural,,,,Agricultura,Dirección General,C/ Albert Einstein,"2, 5ª Planta",39011,,dgdesarrollorural@cantabria.es,942207839,,Planificación y programación de la política de desarrollo rural,,,,
,,Dirección General de Pesca y Alimentación,PCTCAN,Dirección General de Pesca y Alimentación,,,,Pesca,Dirección General,C/ Albert Einstein,"2, 5ª Planta",39011,,dgganaderia@cantabria.es,942207841,,Orgnanización común de mercado de pesca,,,,
